term,case,docket,circuit,issue_area,outcome,split,n_conservative,justice,is_majority
2020,Google LLC v. Oracle America Inc.,18-956,Federal Circuit,Unknown,1,6-3,6,Breyer,1
2020,Google LLC v. Oracle America Inc.,18-956,Federal Circuit,Unknown,1,6-3,6,Jr.,1
2020,Google LLC v. Oracle America Inc.,18-956,Federal Circuit,Unknown,1,6-3,6,Sotomayor,1
2020,Google LLC v. Oracle America Inc.,18-956,Federal Circuit,Unknown,1,6-3,6,Kagan,1
2020,Google LLC v. Oracle America Inc.,18-956,Federal Circuit,Unknown,1,6-3,6,Gorsuch,1
2020,Google LLC v. Oracle America Inc.,18-956,Federal Circuit,Unknown,1,6-3,6,Kavanaugh,1
2020,Google LLC v. Oracle America Inc.,18-956,Federal Circuit,Unknown,1,6-3,6,Thomas,0
2020,Google LLC v. Oracle America Inc.,18-956,Federal Circuit,Unknown,1,6-3,6,Jr.,0
2020,Google LLC v. Oracle America Inc.,18-956,Federal Circuit,Unknown,1,6-3,6,Barrett,0
2020,United States v. Briggs,19-108,Other,Unknown,1,8-1,6,Jr.,1
2020,United States v. Briggs,19-108,Other,Unknown,1,8-1,6,Gorsuch,1
2020,United States v. Briggs,19-108,Other,Unknown,1,8-1,6,Jr.,1
2020,United States v. Briggs,19-108,Other,Unknown,1,8-1,6,Thomas,1
2020,United States v. Briggs,19-108,Other,Unknown,1,8-1,6,Sotomayor,1
2020,United States v. Briggs,19-108,Other,Unknown,1,8-1,6,Kagan,1
2020,United States v. Briggs,19-108,Other,Unknown,1,8-1,6,Kavanaugh,1
2020,United States v. Briggs,19-108,Other,Unknown,1,8-1,6,Breyer,1
2020,United States v. Briggs,19-108,Other,Unknown,1,8-1,6,Barrett,0
2020,Tanzin v. Tanvir,19-71,2nd Circuit,Unknown,0,8-1,6,Thomas,1
2020,Tanzin v. Tanvir,19-71,2nd Circuit,Unknown,0,8-1,6,Jr.,1
2020,Tanzin v. Tanvir,19-71,2nd Circuit,Unknown,0,8-1,6,Breyer,1
2020,Tanzin v. Tanvir,19-71,2nd Circuit,Unknown,0,8-1,6,Jr.,1
2020,Tanzin v. Tanvir,19-71,2nd Circuit,Unknown,0,8-1,6,Sotomayor,1
2020,Tanzin v. Tanvir,19-71,2nd Circuit,Unknown,0,8-1,6,Kagan,1
2020,Tanzin v. Tanvir,19-71,2nd Circuit,Unknown,0,8-1,6,Gorsuch,1
2020,Tanzin v. Tanvir,19-71,2nd Circuit,Unknown,0,8-1,6,Kavanaugh,1
2020,Tanzin v. Tanvir,19-71,2nd Circuit,Unknown,0,8-1,6,Barrett,0
2020,Carney v. Adams,19-309,3rd Circuit,Unknown,1,8-1,6,Breyer,1
2020,Carney v. Adams,19-309,3rd Circuit,Unknown,1,8-1,6,Jr.,1
2020,Carney v. Adams,19-309,3rd Circuit,Unknown,1,8-1,6,Thomas,1
2020,Carney v. Adams,19-309,3rd Circuit,Unknown,1,8-1,6,Jr.,1
2020,Carney v. Adams,19-309,3rd Circuit,Unknown,1,8-1,6,Sotomayor,1
2020,Carney v. Adams,19-309,3rd Circuit,Unknown,1,8-1,6,Kagan,1
2020,Carney v. Adams,19-309,3rd Circuit,Unknown,1,8-1,6,Gorsuch,1
2020,Carney v. Adams,19-309,3rd Circuit,Unknown,1,8-1,6,Kavanaugh,1
2020,Carney v. Adams,19-309,3rd Circuit,Unknown,1,8-1,6,Barrett,0
2020,Torres v. Madrid,19-292,10th Circuit,Unknown,1,5-4,6,Jr.,1
2020,Torres v. Madrid,19-292,10th Circuit,Unknown,1,5-4,6,Sotomayor,1
2020,Torres v. Madrid,19-292,10th Circuit,Unknown,1,5-4,6,Breyer,1
2020,Torres v. Madrid,19-292,10th Circuit,Unknown,1,5-4,6,Kagan,1
2020,Torres v. Madrid,19-292,10th Circuit,Unknown,1,5-4,6,Kavanaugh,1
2020,Torres v. Madrid,19-292,10th Circuit,Unknown,1,5-4,6,Gorsuch,0
2020,Torres v. Madrid,19-292,10th Circuit,Unknown,1,5-4,6,Jr.,0
2020,Torres v. Madrid,19-292,10th Circuit,Unknown,1,5-4,6,Thomas,0
2020,Torres v. Madrid,19-292,10th Circuit,Unknown,1,5-4,6,Barrett,0
2020,City of Chicago v. Fulton,19-357,7th Circuit,Unknown,1,8-1,6,Jr.,1
2020,City of Chicago v. Fulton,19-357,7th Circuit,Unknown,1,8-1,6,Sotomayor,1
2020,City of Chicago v. Fulton,19-357,7th Circuit,Unknown,1,8-1,6,Jr.,1
2020,City of Chicago v. Fulton,19-357,7th Circuit,Unknown,1,8-1,6,Thomas,1
2020,City of Chicago v. Fulton,19-357,7th Circuit,Unknown,1,8-1,6,Breyer,1
2020,City of Chicago v. Fulton,19-357,7th Circuit,Unknown,1,8-1,6,Kagan,1
2020,City of Chicago v. Fulton,19-357,7th Circuit,Unknown,1,8-1,6,Gorsuch,1
2020,City of Chicago v. Fulton,19-357,7th Circuit,Unknown,1,8-1,6,Kavanaugh,1
2020,City of Chicago v. Fulton,19-357,7th Circuit,Unknown,1,8-1,6,Barrett,0
2020,Pereida v. Wilkinson,19-438,8th Circuit,Unknown,0,5-4,6,Gorsuch,1
2020,Pereida v. Wilkinson,19-438,8th Circuit,Unknown,0,5-4,6,Jr.,1
2020,Pereida v. Wilkinson,19-438,8th Circuit,Unknown,0,5-4,6,Thomas,1
2020,Pereida v. Wilkinson,19-438,8th Circuit,Unknown,0,5-4,6,Jr.,1
2020,Pereida v. Wilkinson,19-438,8th Circuit,Unknown,0,5-4,6,Kavanaugh,1
2020,Pereida v. Wilkinson,19-438,8th Circuit,Unknown,0,5-4,6,Breyer,0
2020,Pereida v. Wilkinson,19-438,8th Circuit,Unknown,0,5-4,6,Sotomayor,0
2020,Pereida v. Wilkinson,19-438,8th Circuit,Unknown,0,5-4,6,Kagan,0
2020,Pereida v. Wilkinson,19-438,8th Circuit,Unknown,0,5-4,6,Barrett,0
2020,Rutledge v. Pharmaceutical Care Management Association,18-540,8th Circuit,Unknown,1,8-1,6,Sotomayor,1
2020,Rutledge v. Pharmaceutical Care Management Association,18-540,8th Circuit,Unknown,1,8-1,6,Jr.,1
2020,Rutledge v. Pharmaceutical Care Management Association,18-540,8th Circuit,Unknown,1,8-1,6,Thomas,1
2020,Rutledge v. Pharmaceutical Care Management Association,18-540,8th Circuit,Unknown,1,8-1,6,Jr.,1
2020,Rutledge v. Pharmaceutical Care Management Association,18-540,8th Circuit,Unknown,1,8-1,6,Breyer,1
2020,Rutledge v. Pharmaceutical Care Management Association,18-540,8th Circuit,Unknown,1,8-1,6,Kagan,1
2020,Rutledge v. Pharmaceutical Care Management Association,18-540,8th Circuit,Unknown,1,8-1,6,Gorsuch,1
2020,Rutledge v. Pharmaceutical Care Management Association,18-540,8th Circuit,Unknown,1,8-1,6,Kavanaugh,1
2020,Rutledge v. Pharmaceutical Care Management Association,18-540,8th Circuit,Unknown,1,8-1,6,Barrett,0
2020,Salinas v. United States Railroad Retirement Board,19-199,5th Circuit,Unknown,1,5-4,6,Sotomayor,1
2020,Salinas v. United States Railroad Retirement Board,19-199,5th Circuit,Unknown,1,5-4,6,Jr.,1
2020,Salinas v. United States Railroad Retirement Board,19-199,5th Circuit,Unknown,1,5-4,6,Breyer,1
2020,Salinas v. United States Railroad Retirement Board,19-199,5th Circuit,Unknown,1,5-4,6,Kagan,1
2020,Salinas v. United States Railroad Retirement Board,19-199,5th Circuit,Unknown,1,5-4,6,Kavanaugh,1
2020,Salinas v. United States Railroad Retirement Board,19-199,5th Circuit,Unknown,1,5-4,6,Thomas,0
2020,Salinas v. United States Railroad Retirement Board,19-199,5th Circuit,Unknown,1,5-4,6,Barrett,0
2020,Salinas v. United States Railroad Retirement Board,19-199,5th Circuit,Unknown,1,5-4,6,Gorsuch,0
2020,Salinas v. United States Railroad Retirement Board,19-199,5th Circuit,Unknown,1,5-4,6,Jr.,0
2020,Ford Motor Company v. Montana Eighth Judicial District Court,19-368,Other,Unknown,0,8-1,6,Kagan,1
2020,Ford Motor Company v. Montana Eighth Judicial District Court,19-368,Other,Unknown,0,8-1,6,Jr.,1
2020,Ford Motor Company v. Montana Eighth Judicial District Court,19-368,Other,Unknown,0,8-1,6,Breyer,1
2020,Ford Motor Company v. Montana Eighth Judicial District Court,19-368,Other,Unknown,0,8-1,6,Sotomayor,1
2020,Ford Motor Company v. Montana Eighth Judicial District Court,19-368,Other,Unknown,0,8-1,6,Jr.,1
2020,Ford Motor Company v. Montana Eighth Judicial District Court,19-368,Other,Unknown,0,8-1,6,Gorsuch,1
2020,Ford Motor Company v. Montana Eighth Judicial District Court,19-368,Other,Unknown,0,8-1,6,Thomas,1
2020,Ford Motor Company v. Montana Eighth Judicial District Court,19-368,Other,Unknown,0,8-1,6,Kavanaugh,1
2020,Ford Motor Company v. Montana Eighth Judicial District Court,19-368,Other,Unknown,0,8-1,6,Barrett,0
2020,Fulton v. City of Philadelphia,19-123,3rd Circuit,Unknown,1,9-0,6,Jr.,1
2020,Fulton v. City of Philadelphia,19-123,3rd Circuit,Unknown,1,9-0,6,Sotomayor,1
2020,Fulton v. City of Philadelphia,19-123,3rd Circuit,Unknown,1,9-0,6,Kagan,1
2020,Fulton v. City of Philadelphia,19-123,3rd Circuit,Unknown,1,9-0,6,Breyer,1
2020,Fulton v. City of Philadelphia,19-123,3rd Circuit,Unknown,1,9-0,6,Kavanaugh,1
2020,Fulton v. City of Philadelphia,19-123,3rd Circuit,Unknown,1,9-0,6,Barrett,1
2020,Fulton v. City of Philadelphia,19-123,3rd Circuit,Unknown,1,9-0,6,Jr.,1
2020,Fulton v. City of Philadelphia,19-123,3rd Circuit,Unknown,1,9-0,6,Thomas,1
2020,Fulton v. City of Philadelphia,19-123,3rd Circuit,Unknown,1,9-0,6,Gorsuch,1
2020,U.S. Fish and Wildlife Service v. Sierra Club,19-547,9th Circuit,Unknown,1,7-2,6,Barrett,1
2020,U.S. Fish and Wildlife Service v. Sierra Club,19-547,9th Circuit,Unknown,1,7-2,6,Jr.,1
2020,U.S. Fish and Wildlife Service v. Sierra Club,19-547,9th Circuit,Unknown,1,7-2,6,Thomas,1
2020,U.S. Fish and Wildlife Service v. Sierra Club,19-547,9th Circuit,Unknown,1,7-2,6,Breyer,0
2020,U.S. Fish and Wildlife Service v. Sierra Club,19-547,9th Circuit,Unknown,1,7-2,6,Sotomayor,0
2020,U.S. Fish and Wildlife Service v. Sierra Club,19-547,9th Circuit,Unknown,1,7-2,6,Jr.,1
2020,U.S. Fish and Wildlife Service v. Sierra Club,19-547,9th Circuit,Unknown,1,7-2,6,Gorsuch,1
2020,U.S. Fish and Wildlife Service v. Sierra Club,19-547,9th Circuit,Unknown,1,7-2,6,Kavanaugh,1
2020,U.S. Fish and Wildlife Service v. Sierra Club,19-547,9th Circuit,Unknown,1,7-2,6,Kagan,1
2020,Borden v. United States,19-5410,6th Circuit,Unknown,1,5-4,6,Kagan,1
2020,Borden v. United States,19-5410,6th Circuit,Unknown,1,5-4,6,Sotomayor,1
2020,Borden v. United States,19-5410,6th Circuit,Unknown,1,5-4,6,Breyer,1
2020,Borden v. United States,19-5410,6th Circuit,Unknown,1,5-4,6,Gorsuch,1
2020,Borden v. United States,19-5410,6th Circuit,Unknown,1,5-4,6,Thomas,1
2020,Borden v. United States,19-5410,6th Circuit,Unknown,1,5-4,6,Kavanaugh,0
2020,Borden v. United States,19-5410,6th Circuit,Unknown,1,5-4,6,Jr.,0
2020,Borden v. United States,19-5410,6th Circuit,Unknown,1,5-4,6,Barrett,0
2020,Borden v. United States,19-5410,6th Circuit,Unknown,1,5-4,6,Jr.,0
2020,California v. Texas,19-840,5th Circuit,Unknown,1,7-2,6,Breyer,1
2020,California v. Texas,19-840,5th Circuit,Unknown,1,7-2,6,Jr.,1
2020,California v. Texas,19-840,5th Circuit,Unknown,1,7-2,6,Sotomayor,1
2020,California v. Texas,19-840,5th Circuit,Unknown,1,7-2,6,Kagan,1
2020,California v. Texas,19-840,5th Circuit,Unknown,1,7-2,6,Thomas,1
2020,California v. Texas,19-840,5th Circuit,Unknown,1,7-2,6,Kavanaugh,1
2020,California v. Texas,19-840,5th Circuit,Unknown,1,7-2,6,Barrett,1
2020,California v. Texas,19-840,5th Circuit,Unknown,1,7-2,6,Jr.,0
2020,California v. Texas,19-840,5th Circuit,Unknown,1,7-2,6,Gorsuch,0
2020,Jones v. Mississippi,18-1259,State Supreme Court,Unknown,0,6-3,6,Kavanaugh,1
2020,Jones v. Mississippi,18-1259,State Supreme Court,Unknown,0,6-3,6,Jr.,1
2020,Jones v. Mississippi,18-1259,State Supreme Court,Unknown,0,6-3,6,Thomas,1
2020,Jones v. Mississippi,18-1259,State Supreme Court,Unknown,0,6-3,6,Breyer,0
2020,Jones v. Mississippi,18-1259,State Supreme Court,Unknown,0,6-3,6,Jr.,1
